year,region,flood_happened,city,season_avg_temp,temp_min,temp_max,season_total_precip,precip_max,season_total_snow,season_max_snowdepth,windspeed_mean,humidity_mean
2010,Акмолинская область,0,Астана,-12.211920529801324,-35.3,17.6,0.7,0.7,214.79999999999998,30.1,23.14569536423841,80.51258278145696
2010,Восточно-Казахстанская область,0,Усть-Каменогорск,1.7005479452054795,-39.8,26.4,691.4,26.9,823.8,70.2,21.344109589041096,71.91698630136986
2010,Западно-Казахстанская область,0,Уральск,-7.540397350993377,-30.6,17.8,123.3,21.9,359.0,42.8,20.484105960264902,80.61655629139074
2011,Акмолинская область,0,Астана,-10.443046357615895,-30.1,17.7,0.30000000000000004,0.2,230.0,22.0,26.547682119205298,78.38013245033112
2011,Восточно-Казахстанская область,0,Усть-Каменогорск,-11.348344370860927,-39.4,18.7,377.8,16.0,2068.6,80.8,17.423841059602648,76.77814569536424
2011,Западно-Казахстанская область,1,Уральск,-6.36887417218543,-29.4,15.5,171.29999999999998,18.1,304.3,43.3,25.484105960264902,80.0615894039735
2012,Акмолинская область,0,Астана,-11.471710526315789,-36.5,19.3,57.3,7.1,181.5,26.0,23.625657894736843,76.41184210526316
2012,Восточно-Казахстанская область,0,Усть-Каменогорск,-12.915131578947367,-38.6,17.7,116.5,8.1,597.0,50.8,14.501973684210528,74.19736842105263
2012,Западно-Казахстанская область,0,Уральск,-5.468421052631579,-24.7,21.5,61.5,6.1,242.6,31.5,26.857894736842105,76.825
2013,Акмолинская область,0,Астана,-9.25430463576159,-39.6,16.5,149.5,14.0,301.09999999999997,36.4,28.309933774834438,79.5543046357616
2013,Восточно-Казахстанская область,0,Усть-Каменогорск,-8.558940397350995,-42.2,16.6,211.0,12.2,776.9,73.0,19.80728476821192,75.5364238410596
2013,Западно-Казахстанская область,0,Уральск,-4.724503311258278,-27.2,18.6,130.7,19.8,271.5,45.0,28.633774834437084,81.29205298013245
2014,Акмолинская область,0,Астана,-9.225165562913908,-32.9,11.5,134.8,12.3,347.5,44.5,30.12317880794702,76.42781456953642
2014,Восточно-Казахстанская область,0,Усть-Каменогорск,-6.5125827814569535,-32.6,15.4,320.8,101.8,363.8,44.4,21.70066225165563,69.0
2014,Западно-Казахстанская область,0,Уральск,-5.541059602649007,-29.8,14.3,106.8,11.0,218.2,25.4,27.770860927152317,81.7364238410596
2015,Акмолинская область,0,Астана,-8.466887417218542,-32.0,14.8,116.0,10.0,352.1,31.6,28.621192052980135,79.62913907284768
2015,Восточно-Казахстанская область,0,Усть-Каменогорск,-7.525165562913907,-36.0,19.2,296.4,18.0,750.1,59.6,19.38344370860927,74.26490066225166
2015,Западно-Казахстанская область,0,Уральск,-5.309933774834437,-27.5,17.9,109.6,13.1,294.1,33.0,27.449006622516556,80.70264900662252
2016,Акмолинская область,0,Астана,-4.971052631578948,-25.9,15.9,124.8,13.0,197.5,30.5,29.486842105263158,78.24078947368422
2016,Восточно-Казахстанская область,0,Усть-Каменогорск,-5.503947368421053,-30.3,16.2,282.7,27.0,738.9,59.1,18.909868421052632,74.7296052631579
2016,Западно-Казахстанская область,0,Уральск,-1.2796052631578947,-22.6,16.8,171.2,11.0,338.59999999999997,33.5,30.715131578947368,85.52631578947368
2017,Акмолинская область,1,Астана,-7.745033112582782,-29.0,18.7,130.3,13.0,315.4,39.0,30.25430463576159,77.49735099337748
2017,Восточно-Казахстанская область,1,Усть-Каменогорск,-6.624503311258278,-27.9,18.6,254.9,22.0,1194.4,96.1,19.372185430463574,66.3728476821192
2017,Западно-Казахстанская область,0,Уральск,-5.9801324503311255,-29.7,16.3,122.6,12.0,319.5,38.1,27.433774834437084,82.78013245033112
2018,Акмолинская область,0,Астана,-10.733774834437085,-35.0,13.4,139.9,15.4,178.2,21.4,26.129801324503312,79.97152317880796
2018,Восточно-Казахстанская область,1,Усть-Каменогорск,-9.650331125827815,-36.8,16.9,304.0,19.0,366.9,38.1,17.52781456953642,78.04569536423841
2018,Западно-Казахстанская область,0,Уральск,-6.453642384105961,-24.6,16.7,101.6,7.0,274.8,31.0,25.634437086092717,80.72980132450331
2019,Акмолинская область,0,Астана,-8.856953642384106,-31.9,15.6,90.346,7.802,377.7,38.9,24.413245033112585,81.09735099337749
2019,Восточно-Казахстанская область,0,Усть-Каменогорск,-8.974834437086093,-35.0,15.9,178.5,15.0,710.1,48.3,16.70794701986755,77.91456953642384
2019,Западно-Казахстанская область,0,Уральск,-4.903311258278146,-25.3,17.0,152.905,10.574,636.6,59.9,27.794701986754966,81.7728476821192
2020,Акмолинская область,0,Астана,-4.364473684210526,-22.7,20.3,185.314,25.386,337.4,35.8,29.78421052631579,79.63947368421053
2020,Восточно-Казахстанская область,0,Усть-Каменогорск,-4.092763157894737,-26.0,21.6,251.7,24.0,521.9,51.6,20.60592105263158,76.81776315789473
2020,Западно-Казахстанская область,0,Уральск,-0.09473684210526313,-16.8,14.3,100.698,8.581,81.2,16.3,27.963157894736838,76.85657894736842
2021,Акмолинская область,0,Астана,-10.087417218543047,-31.1,19.4,111.335,22.831,278.59999999999997,47.9,28.128476821192052,76.23708609271523
2021,Восточно-Казахстанская область,0,Усть-Каменогорск,-9.050331125827814,-38.9,20.1,200.2,11.0,413.3,48.1,20.574834437086093,72.78145695364239
2021,Западно-Казахстанская область,0,Уральск,-6.396026490066226,-25.6,16.8,215.666,81.197,261.0,32.0,28.72980132450331,80.23907284768212
2022,Акмолинская область,0,Астана,-6.870198675496689,-25.1,19.1,106.183,9.0,380.2,44.7,28.08211920529801,76.058940397351
2022,Восточно-Казахстанская область,0,Усть-Каменогорск,-6.582781456953643,-26.5,18.2,221.6,18.0,659.6,56.8,17.948344370860926,74.10794701986754
2022,Западно-Казахстанская область,0,Уральск,-3.194701986754967,-25.8,20.1,170.33,21.091,711.9,49.1,29.530463576158944,84.66092715231788
2023,Акмолинская область,0,Астана,-8.682119205298013,-30.6,18.4,136.058,20.711,27.4,39.6,27.5364238410596,73.40728476821192
2023,Восточно-Казахстанская область,0,Усть-Каменогорск,-7.282119205298013,-31.7,17.1,288.2,10.0,56.9,59.3,21.601986754966887,69.82715231788079
2023,Западно-Казахстанская область,0,Уральск,-3.03841059602649,-27.7,21.0,108.316,16.115,24.2,23.4,26.296688741721855,74.19337748344371
2024,Акмолинская область,1,Астана,-7.090131578947369,-30.1,17.5,176.182,10.675,23.6,47.4,29.984210526315792,79.94342105263158
2024,Восточно-Казахстанская область,0,Усть-Каменогорск,-6.659868421052631,-36.1,16.0,308.6,20.0,52.7,65.5,21.1875,69.34144736842104
2024,Западно-Казахстанская область,1,Уральск,-4.005263157894737,-24.8,21.4,162.864,24.637,32.2,34.7,28.567105263157895,81.325
